2021/01/02 13:14:16 logger.go:28: LogFile : logs\info.log
2021/01/02 13:14:16 database.go:19: Intializing DB
2021/01/02 13:14:16 database.go:58: Loading Tables
2021/01/02 13:14:16 database.go:69:  Table is beign created for database.Notification
2021/01/02 13:14:16 database.go:69:  Table is beign created for database.Event
2021/01/02 13:14:16 database.go:69:  Table is beign created for database.EventImages
2021/01/02 13:14:16 database.go:69:  Table is beign created for database.Student
2021/01/02 13:14:16 database.go:69:  Table is beign created for database.User
2021/01/02 13:14:16 database.go:69:  Table is beign created for database.Marks
2021/01/02 13:14:16 database.go:69:  Table is beign created for database.Calendar
2021/01/02 13:14:58 main.go:22: localhost:8000 - GET - /api/v1/events?module=events - [::1]:59941
2021/01/02 13:14:58 main.go:22: localhost:8000 - GET - /api/v1/events?module=achievements - [::1]:59941
2021/01/02 13:14:58 main.go:22: localhost:8000 - GET - /api/v1/notifications?module=videos - [::1]:59941
2021/01/02 13:14:58 main.go:22: localhost:8000 - GET - /api/v1/notifications?module=banner - [::1]:59941
2021/01/02 13:14:58 main.go:22: localhost:8000 - GET - /api/v1/notifications?module=notification - [::1]:59941
2021/01/02 13:14:59 main.go:22: localhost:8000 - GET - /api/v1/events?module=principal - [::1]:59941
2021/01/02 13:14:59 main.go:22: localhost:8000 - GET - /api/v1/students?module=12 - [::1]:59941
2021/01/02 13:14:59 main.go:22: localhost:8000 - GET - /api/v1/students?module=10 - [::1]:59941
2021/01/02 13:15:18 main.go:22: localhost:8000 - GET - /api/v1/events?module=events - [::1]:59941
2021/01/02 13:15:23 main.go:22: localhost:8000 - GET - /api/v1/events?module=achievements - [::1]:59941
2021/01/02 13:15:32 main.go:22: localhost:8000 - GET - /api/v1/calendar - [::1]:59941
2021/01/02 13:15:50 loginhandler.go:64: Session Establisted for User :
2021/01/02 13:15:50 loginhandler.go:65: 1
2021/01/02 13:15:50 main.go:22: localhost:8000 - GET - /api/v1/notifications?module=notification - [::1]:59941
2021/01/02 13:15:50 main.go:22: localhost:8000 - GET - /api/v1/notifications?module=banner - [::1]:59941
2021/01/02 13:15:50 main.go:22: localhost:8000 - GET - /api/v1/health - [::1]:59941
2021/01/02 13:15:55 main.go:22: localhost:8000 - GET - /api/v1/events?module=events - [::1]:59941
2021/01/02 13:15:58 main.go:22: localhost:8000 - DELETE - /api/v1/events/5 - [::1]:59941
2021/01/02 13:15:58 main.go:22: localhost:8000 - GET - /api/v1/events?module=events - [::1]:59941
2021/01/02 13:16:04 main.go:22: localhost:8000 - GET - /api/v1/events?module=events - [::1]:59941
2021/01/02 13:16:07 main.go:22: localhost:8000 - GET - /api/v1/events?module=achievements - [::1]:59941
2021/01/02 13:16:09 main.go:22: localhost:8000 - GET - /api/v1/calendar - [::1]:59941
2021/01/02 13:16:12 main.go:22: localhost:8000 - GET - /api/v1/students?module=12 - [::1]:59941
2021/01/02 13:16:12 main.go:22: localhost:8000 - GET - /api/v1/students?module=10 - [::1]:59941
2021/01/02 13:17:20 main.go:22: localhost:8000 - DELETE - /api/v1/students/1/marks/1 - [::1]:60091
2021/01/02 13:17:21 main.go:22: localhost:8000 - GET - /api/v1/students?module=12 - [::1]:60091
2021/01/02 13:17:21 main.go:22: localhost:8000 - GET - /api/v1/students?module=10 - [::1]:60091
2021/01/02 13:17:23 main.go:22: localhost:8000 - DELETE - /api/v1/students/1/marks/3 - [::1]:60091
2021/01/02 13:17:23 main.go:22: localhost:8000 - GET - /api/v1/students?module=12 - [::1]:60091
2021/01/02 13:17:23 main.go:22: localhost:8000 - GET - /api/v1/students?module=10 - [::1]:60091
2021/01/02 13:17:26 main.go:22: localhost:8000 - DELETE - /api/v1/students/1/marks/4 - [::1]:60091
2021/01/02 13:17:26 main.go:22: localhost:8000 - GET - /api/v1/students?module=12 - [::1]:60091
2021/01/02 13:17:26 main.go:22: localhost:8000 - GET - /api/v1/students?module=10 - [::1]:60091
2021/01/02 13:18:24 main.go:22: localhost:8000 - GET - /api/v1/notifications?module=notification - [::1]:60105
2021/01/02 13:18:24 main.go:22: localhost:8000 - GET - /api/v1/notifications?module=banner - [::1]:60105
2021/01/02 13:18:24 main.go:22: localhost:8000 - GET - /api/v1/health - [::1]:60105
2021/01/02 13:18:28 main.go:22: localhost:8000 - GET - /api/v1/students?module=12 - [::1]:60105
2021/01/02 13:18:28 main.go:22: localhost:8000 - GET - /api/v1/students?module=10 - [::1]:60105
2021/01/02 13:18:38 main.go:22: localhost:8000 - DELETE - /api/v1/students/1 - [::1]:60105
2021/01/02 13:18:38 main.go:22: localhost:8000 - GET - /api/v1/students?module=12 - [::1]:60105
2021/01/02 13:18:38 main.go:22: localhost:8000 - GET - /api/v1/students?module=10 - [::1]:60105
2021/01/02 13:18:42 main.go:22: localhost:8000 - GET - /api/v1/notifications?module=notification - [::1]:60105
2021/01/02 13:18:42 main.go:22: localhost:8000 - GET - /api/v1/notifications?module=banner - [::1]:60105
2021/01/02 13:18:42 main.go:22: localhost:8000 - GET - /api/v1/health - [::1]:60105
2021/01/02 13:18:48 main.go:22: localhost:8000 - DELETE - /api/v1/notifications/2 - [::1]:60105
2021/01/02 13:18:48 main.go:22: localhost:8000 - GET - /api/v1/notifications?module=notification - [::1]:60105
2021/01/02 13:19:01 main.go:22: localhost:8000 - GET - /api/v1/events?module=events - [::1]:60105
2021/01/02 13:19:02 main.go:22: localhost:8000 - GET - /api/v1/notifications?module=notification - [::1]:60105
2021/01/02 13:19:02 main.go:22: localhost:8000 - GET - /api/v1/notifications?module=banner - [::1]:60105
2021/01/02 13:19:02 main.go:22: localhost:8000 - GET - /api/v1/health - [::1]:60105
2021/01/02 13:20:49 main.go:22: localhost:8000 - GET - /api/v1/students?module=12 - [::1]:60118
2021/01/02 13:20:49 main.go:22: localhost:8000 - GET - /api/v1/students?module=10 - [::1]:60118
2021/01/02 13:21:41 main.go:22: localhost:8000 - POST - /api/v1/students?module=12 - [::1]:60121
2021/01/02 13:21:41 helper.go:151: file has been created and stored -dist\img\12\android-chrome-192x192.png
2021/01/02 13:21:41 main.go:22: localhost:8000 - GET - /api/v1/students?module=12 - [::1]:60121
2021/01/02 13:21:41 main.go:22: localhost:8000 - GET - /api/v1/students?module=10 - [::1]:60121
2021/01/02 13:21:52 main.go:22: localhost:8000 - GET - /api/v1/events?module=events - [::1]:60121
2021/01/02 13:22:15 main.go:22: localhost:8000 - POST - /api/v1/events?module=events - [::1]:60124
2021/01/02 13:22:15 helper.go:151: file has been created and stored -dist\img\events\android-chrome-512x512.png
2021/01/02 13:22:15 main.go:22: localhost:8000 - GET - /api/v1/events?module=events - [::1]:60124
2021/01/02 13:22:21 main.go:22: localhost:8000 - GET - /api/v1/events/10004 - [::1]:60124
2021/01/02 13:22:39 main.go:22: localhost:8000 - POST - /api/v1/events/10004/images - [::1]:60126
2021/01/02 13:22:39 helper.go:151: file has been created and stored -dist\img\events10004\android-chrome-192x192.png
2021/01/02 13:22:39 helper.go:151: file has been created and stored -dist\img\events10004\android-chrome-512x512.png
2021/01/02 13:22:39 helper.go:151: file has been created and stored -dist\img\events10004\android-chrome-maskable-192x192.png
2021/01/02 13:22:39 helper.go:151: file has been created and stored -dist\img\events10004\android-chrome-maskable-512x512.png
2021/01/02 13:22:39 helper.go:151: file has been created and stored -dist\img\events10004\apple-touch-icon.png
2021/01/02 13:22:39 helper.go:151: file has been created and stored -dist\img\events10004\apple-touch-icon-60x60.png
2021/01/02 13:22:39 helper.go:151: file has been created and stored -dist\img\events10004\apple-touch-icon-76x76.png
2021/01/02 13:22:39 helper.go:151: file has been created and stored -dist\img\events10004\apple-touch-icon-120x120.png
2021/01/02 13:22:39 helper.go:151: file has been created and stored -dist\img\events10004\apple-touch-icon-152x152.png
2021/01/02 13:22:39 helper.go:151: file has been created and stored -dist\img\events10004\apple-touch-icon-180x180.png
2021/01/02 13:22:39 helper.go:151: file has been created and stored -dist\img\events10004\favicon.ico
2021/01/02 13:22:39 helper.go:151: file has been created and stored -dist\img\events10004\favicon-16x16.png
2021/01/02 13:22:39 helper.go:151: file has been created and stored -dist\img\events10004\favicon-32x32.png
2021/01/02 13:22:39 helper.go:151: file has been created and stored -dist\img\events10004\msapplication-icon-144x144.png
2021/01/02 13:22:39 helper.go:151: file has been created and stored -dist\img\events10004\mstile-150x150.png
2021/01/02 13:22:39 helper.go:151: file has been created and stored -dist\img\events10004\safari-pinned-tab.svg
2021/01/02 13:22:39 main.go:22: localhost:8000 - GET - /api/v1/events/10004 - [::1]:60126
2021/01/02 13:22:49 main.go:22: localhost:8000 - GET - /api/v1/events?module=events - [::1]:60126
2021/01/02 13:22:50 main.go:22: localhost:8000 - GET - /api/v1/events/10004 - [::1]:60126
2021/01/02 13:23:16 main.go:22: localhost:8000 - GET - /api/v1/events?module=events - [::1]:60128
2021/01/02 13:23:16 main.go:22: localhost:8000 - GET - /api/v1/events?module=achievements - [::1]:60128
2021/01/02 13:23:16 main.go:22: localhost:8000 - GET - /api/v1/notifications?module=banner - [::1]:60128
2021/01/02 13:23:16 main.go:22: localhost:8000 - GET - /api/v1/notifications?module=videos - [::1]:60128
2021/01/02 13:23:16 main.go:22: localhost:8000 - GET - /api/v1/notifications?module=notification - [::1]:60128
2021/01/02 13:23:16 main.go:22: localhost:8000 - GET - /api/v1/events?module=principal - [::1]:60128
2021/01/02 13:23:16 main.go:22: localhost:8000 - GET - /api/v1/students?module=12 - [::1]:60128
2021/01/02 13:23:16 main.go:22: localhost:8000 - GET - /api/v1/students?module=10 - [::1]:60128
2021/01/02 13:23:31 main.go:22: localhost:8000 - GET - /api/v1/events/10004 - [::1]:60128
2021/01/02 13:23:37 main.go:22: localhost:8000 - GET - /api/v1/events?module=events - [::1]:60128
2021/01/02 13:23:39 main.go:22: localhost:8000 - GET - /api/v1/events/10004 - [::1]:60128
2021/01/02 13:23:54 main.go:22: localhost:8000 - GET - /api/v1/events?module=events - [::1]:60128
2021/01/02 13:23:54 main.go:22: localhost:8000 - GET - /api/v1/events?module=achievements - [::1]:60128
2021/01/02 13:23:54 main.go:22: localhost:8000 - GET - /api/v1/notifications?module=videos - [::1]:60128
2021/01/02 13:23:54 main.go:22: localhost:8000 - GET - /api/v1/notifications?module=banner - [::1]:60128
2021/01/02 13:23:54 main.go:22: localhost:8000 - GET - /api/v1/notifications?module=notification - [::1]:60128
2021/01/02 13:23:54 main.go:22: localhost:8000 - GET - /api/v1/events?module=principal - [::1]:60128
2021/01/02 13:23:54 main.go:22: localhost:8000 - GET - /api/v1/students?module=12 - [::1]:60128
2021/01/02 13:23:54 main.go:22: localhost:8000 - GET - /api/v1/students?module=10 - [::1]:60128
2021/01/02 13:23:59 main.go:22: localhost:8000 - GET - /api/v1/notifications?module=notification - [::1]:60128
2021/01/02 13:23:59 main.go:22: localhost:8000 - GET - /api/v1/notifications?module=banner - [::1]:60128
2021/01/02 13:23:59 main.go:22: localhost:8000 - GET - /api/v1/health - [::1]:60128
2021/01/02 13:24:05 main.go:22: localhost:8000 - PUT - /api/v1/notifications/1 - [::1]:60128
2021/01/02 13:24:05 main.go:22: localhost:8000 - GET - /api/v1/notifications?module=notification - [::1]:60128
2021/01/02 13:24:05 main.go:22: localhost:8000 - GET - /api/v1/notifications?module=banner - [::1]:60128
2021/01/02 13:24:32 main.go:22: localhost:8000 - GET - /api/v1/events?module=events - [::1]:60140
2021/01/02 13:24:32 main.go:22: localhost:8000 - GET - /api/v1/events?module=achievements - [::1]:60140
2021/01/02 13:24:32 main.go:22: localhost:8000 - GET - /api/v1/notifications?module=videos - [::1]:60140
2021/01/02 13:24:32 main.go:22: localhost:8000 - GET - /api/v1/notifications?module=banner - [::1]:60140
2021/01/02 13:24:32 main.go:22: localhost:8000 - GET - /api/v1/notifications?module=notification - [::1]:60140
2021/01/02 13:24:32 main.go:22: localhost:8000 - GET - /api/v1/events?module=principal - [::1]:60140
2021/01/02 13:24:33 main.go:22: localhost:8000 - GET - /api/v1/students?module=12 - [::1]:60140
2021/01/02 13:24:33 main.go:22: localhost:8000 - GET - /api/v1/students?module=10 - [::1]:60140
2021/01/02 13:24:52 main.go:22: localhost:8000 - POST - /api/v1/notifications?module=notification - [::1]:60149
2021/01/02 13:24:52 main.go:22: localhost:8000 - GET - /api/v1/notifications?module=notification - [::1]:60149
2021/01/02 13:24:56 main.go:22: localhost:8000 - GET - /api/v1/notifications?module=notification - [::1]:60149
2021/01/02 13:25:05 main.go:22: localhost:8000 - GET - /api/v1/events?module=principal - [::1]:60149
2021/01/02 13:25:41 main.go:22: localhost:8000 - PUT - /api/v1/events/1 - [::1]:60154
2021/01/02 13:25:41 main.go:22: localhost:8000 - GET - /api/v1/events?module=principal - [::1]:60154
